ENSGene,Control_1,Control_2,SHSY5Y_1,SHSY5Y_2
ENSG00000188694,0,0,0,0
ENSG00000188706,2424,2584,851,851
ENSG00000188707,0,0,0,0
ENSG00000188710,5,10,26,28
ENSG00000188712,0,0,0,0
ENSG00000188716,0,0,0,0
ENSG00000188725,553,590,2008,1999
ENSG00000188729,0,0,0,0
ENSG00000188730,0,0,0,0
ENSG00000188732,37,32,1142,1128
ENSG00000188735,717,703,816,804
ENSG00000188738,2,1,2,2
ENSG00000188739,3,3,23,20
ENSG00000188747,62,64,59,59
ENSG00000188755,0,0,0,0
ENSG00000188760,125,118,897,904
ENSG00000188761,0,0,0,0
ENSG00000188763,18,8,146,143
ENSG00000188765,0,0,0,0
ENSG00000188766,365,426,524,518
ENSG00000188770,5,11,0,0
ENSG00000188771,0,0,0,0
ENSG00000188778,0,0,0,0
ENSG00000188779,27,20,83,85
ENSG00000188782,0,0,2,2
ENSG00000188783,6877,7437,6,5
ENSG00000188784,0,0,0,0
ENSG00000188785,0,0,0,0
ENSG00000188786,759,755,896,896
ENSG00000188800,0,0,6,2
ENSG00000188801,0,0,0,0
ENSG00000188803,0,0,3,3
ENSG00000188807,378,447,1335,1328
ENSG00000188811,394,505,506,502
ENSG00000188816,0,0,0,2
ENSG00000188817,0,0,0,0
ENSG00000188818,29,16,97,96
ENSG00000188820,0,0,0,0
ENSG00000188822,0,0,0,0
ENSG00000188825,131,105,286,289
ENSG00000188827,285,272,757,762
ENSG00000188828,4,2,0,0
ENSG00000188831,0,0,0,0
ENSG00000188833,1,1,15,15
ENSG00000188846,9347,8297,16240,16090
ENSG00000188848,0,0,3315,3300
ENSG00000188850,0,0,0,0
ENSG00000188856,0,0,0,0
ENSG00000188859,8,7,137,134
ENSG00000188868,34,41,60,60
ENSG00000188869,0,0,0,0
ENSG00000188873,0,0,0,0
ENSG00000188877,0,0,0,0
ENSG00000188878,32,30,120,116
ENSG00000188883,2,0,24,25
ENSG00000188886,0,4,0,0
ENSG00000188895,2777,3034,4592,4540
ENSG00000188897,52,47,66,63
ENSG00000188906,362,444,93,94
ENSG00000188909,0,0,1,1
ENSG00000188910,0,0,0,0
ENSG00000188916,0,0,0,0
ENSG00000188917,431,368,370,359
ENSG00000188921,1027,1124,54,55
ENSG00000188931,255,286,665,667
ENSG00000188933,0,0,0,0
ENSG00000188937,0,0,0,0
ENSG00000188938,1058,979,1896,1881
ENSG00000188958,9,11,1,1
ENSG00000188959,2,2,1,1
ENSG00000188976,1331,1374,9584,9561
ENSG00000188981,10,9,38,37
ENSG00000188984,0,0,0,0
ENSG00000188985,0,0,0,0
ENSG00000188986,1313,1397,3698,3661
ENSG00000188991,0,2,0,1
ENSG00000188992,4,0,7,7
ENSG00000188993,44,54,14,12
ENSG00000188994,789,840,2968,2958
ENSG00000188996,0,0,0,0
ENSG00000188997,35,24,55,52
ENSG00000189001,34,29,1,1
ENSG00000189002,0,0,0,1
ENSG00000189007,133,111,514,515
ENSG00000189013,0,0,0,0
ENSG00000189014,8,13,10,19
ENSG00000189023,0,0,0,0
ENSG00000189030,0,0,1,1
ENSG00000189037,0,0,0,0
ENSG00000189042,17,18,71,65
ENSG00000189043,1068,1041,4782,4756
ENSG00000189045,43,76,58,58
ENSG00000189046,179,138,1068,1061
ENSG00000189050,0,0,0,0
ENSG00000189051,0,0,0,0
ENSG00000189052,0,0,0,0
ENSG00000189056,1,14,468,467
ENSG00000189057,87,88,1079,1077
ENSG00000189058,1786,2171,0,0
ENSG00000189060,4115,3940,9409,9314
ENSG00000189064,0,0,2,1
ENSG00000189067,5466,5760,2024,1993
ENSG00000189068,0,0,1,1
ENSG00000189077,598,551,661,651
ENSG00000189079,724,823,2183,2166
ENSG00000189089,0,0,0,0
ENSG00000189090,0,0,0,0
ENSG00000189091,4512,4534,11281,11185
ENSG00000189099,0,0,0,0
ENSG00000189108,0,1,94,94
ENSG00000189114,0,0,0,0
ENSG00000189120,1,5,2,2
ENSG00000189127,0,0,10,10
ENSG00000189129,540,490,6,6
ENSG00000189132,0,0,0,0
ENSG00000189134,15,16,0,0
ENSG00000189136,143,144,91,98
ENSG00000189139,0,0,0,0
ENSG00000189143,30,40,65,64
ENSG00000189144,83,62,179,180
ENSG00000189145,0,0,0,0
ENSG00000189149,3,8,13,13
ENSG00000189152,0,0,0,0
ENSG00000189157,0,0,7,7
ENSG00000189159,739,642,8578,8506
ENSG00000189164,87,112,219,222
ENSG00000189166,1,0,0,0
ENSG00000189167,0,0,4,4
ENSG00000189169,0,0,0,0
ENSG00000189171,481,480,4,4
ENSG00000189180,602,702,1958,1952
ENSG00000189181,0,0,0,0
ENSG00000189182,0,0,0,0
ENSG00000189184,12452,13253,1065,1060
ENSG00000189186,0,0,0,0
ENSG00000189190,102,168,301,298
ENSG00000189195,97,75,209,210
ENSG00000189196,0,0,0,0
ENSG00000189212,6,8,129,133
ENSG00000189221,15,14,767,764
ENSG00000189223,2,6,0,0
ENSG00000189227,30,41,150,154
ENSG00000189229,2,0,27,26
ENSG00000189233,1,0,0,0
ENSG00000189238,0,0,0,0
ENSG00000189241,0,0,0,0
ENSG00000189252,0,0,0,0
ENSG00000189253,0,0,1,0
ENSG00000189266,1070,1113,3486,3542
ENSG00000189269,18,18,15,17
ENSG00000189275,0,0,0,0
ENSG00000189280,0,0,0,0
ENSG00000189283,7,1,107,108
ENSG00000189292,9,2,6,6
ENSG00000189295,0,0,0,0
ENSG00000189298,141,126,315,317
ENSG00000189299,0,0,488,490
ENSG00000189306,434,401,771,769
ENSG00000189308,615,596,935,923
ENSG00000189316,0,0,0,0
ENSG00000189319,0,0,0,0
ENSG00000189320,580,670,9,10
ENSG00000189325,0,0,0,0
ENSG00000189326,0,0,0,0
ENSG00000189332,0,0,0,0
ENSG00000189334,2,0,0,0
ENSG00000189337,1232,1036,582,569
ENSG00000189339,2103,2244,3929,3876
ENSG00000189343,0,0,0,0
ENSG00000189348,0,0,0,0
ENSG00000189350,38,33,132,130
ENSG00000189357,0,0,0,0
ENSG00000189362,82,95,207,219
ENSG00000189366,32,28,118,116
ENSG00000189367,0,0,0,0
ENSG00000189369,425,420,710,704
ENSG00000189372,0,0,0,0
ENSG00000189375,0,0,1,1
ENSG00000189376,41,70,162,151
ENSG00000189377,0,0,0,0
ENSG00000189398,0,0,0,0
ENSG00000189401,0,0,0,0
ENSG00000189403,2599,2879,26456,26112
ENSG00000189409,1,5,2,4
ENSG00000189410,533,515,68,68
ENSG00000189419,1,1,26,26
ENSG00000189420,95,74,155,155
ENSG00000189423,10,9,80,75
ENSG00000189430,0,0,0,0
ENSG00000189431,0,0,9,9
ENSG00000189433,0,0,0,0
ENSG00000194297,0,0,0,0
ENSG00000194717,0,0,0,0
ENSG00000195024,0,0,0,0
ENSG00000195401,0,0,0,0
ENSG00000196071,0,0,1,1
ENSG00000196072,722,771,979,974
ENSG00000196074,39,63,275,274
ENSG00000196081,6,6,129,128
ENSG00000196083,150,202,0,0
ENSG00000196085,0,0,0,0
ENSG00000196090,0,4,40,39
ENSG00000196091,0,0,0,0
ENSG00000196092,3,2,1352,1337
ENSG00000196096,0,0,1,1
ENSG00000196098,0,0,0,0
ENSG00000196099,0,0,0,0
ENSG00000196104,0,0,7,7
ENSG00000196109,0,0,2,1
ENSG00000196110,133,116,76,80
ENSG00000196114,1,0,0,0
ENSG00000196115,0,0,0,0
ENSG00000196116,821,947,388,384
ENSG00000196118,5,16,41,39
ENSG00000196119,0,0,0,0
ENSG00000196123,284,333,1949,1946
ENSG00000196126,0,0,0,0
ENSG00000196131,0,0,0,0
ENSG00000196132,0,0,1173,1160
ENSG00000196136,0,0,0,0
ENSG00000196139,53,58,32,31
ENSG00000196141,500,512,160,160
ENSG00000196143,0,0,0,0
ENSG00000196150,202,219,658,647
ENSG00000196151,283,258,495,502
ENSG00000196152,207,243,244,240
ENSG00000196154,6168,5658,278,278
ENSG00000196155,857,861,2335,2319
ENSG00000196156,0,0,0,0
ENSG00000196159,4239,4282,425,428
ENSG00000196166,4,4,0,0
ENSG00000196167,4,0,4,4
ENSG00000196169,0,0,5,4
ENSG00000196171,0,0,0,0
ENSG00000196172,16,15,733,720
ENSG00000196177,485,568,911,903
ENSG00000196182,1672,1678,1727,1731
ENSG00000196183,0,1,2,2
ENSG00000196184,0,0,0,0
ENSG00000196187,1319,1356,257,246
ENSG00000196188,0,0,1,1
ENSG00000196189,54,47,73,71
ENSG00000196196,11,11,1,1
ENSG00000196199,1704,1743,2798,2771
ENSG00000196204,3,6,38,32
ENSG00000196205,1571,1339,657,655
ENSG00000196208,11,4,6337,6314
ENSG00000196209,0,0,0,0
ENSG00000196214,24,22,58,63
ENSG00000196218,8,1,38,42
ENSG00000196220,22,15,304,299
ENSG00000196224,0,0,0,0
ENSG00000196227,591,634,1477,1461
ENSG00000196228,3,1,0,0
ENSG00000196230,12399,13770,48030,47984
ENSG00000196233,810,849,1595,1606
ENSG00000196235,3864,3782,5752,5727
ENSG00000196236,280,272,458,465
ENSG00000196240,0,0,0,0
ENSG00000196242,0,0,0,0
ENSG00000196243,0,0,0,0
ENSG00000196247,77,77,1179,1167
ENSG00000196248,0,0,0,0
ENSG00000196260,0,0,0,0
ENSG00000196262,12905,12097,32597,32759
ENSG00000196263,314,338,278,278
ENSG00000196266,0,0,0,0
ENSG00000196267,0,0,0,0
ENSG00000196268,45,40,109,107
ENSG00000196273,0,1,18,18
ENSG00000196274,0,0,0,0
ENSG00000196275,86,94,158,153
ENSG00000196277,0,0,656,675
ENSG00000196284,59,58,141,150
ENSG00000196289,0,0,0,0
ENSG00000196290,358,408,1807,1798
ENSG00000196295,466,477,788,783
ENSG00000196296,0,0,0,0
ENSG00000196301,0,1,0,0
ENSG00000196302,0,1,0,4
ENSG00000196305,9486,10110,7714,7696
ENSG00000196312,854,758,2303,2282
ENSG00000196313,1388,1410,3589,3638
ENSG00000196323,743,750,2086,2109
ENSG00000196329,0,0,0,0
ENSG00000196335,0,0,11,11
ENSG00000196337,3,1,1,1
ENSG00000196338,38,43,387,383
ENSG00000196341,0,0,0,0
ENSG00000196344,0,0,0,0
ENSG00000196345,26,32,152,162
ENSG00000196350,0,0,0,0
ENSG00000196352,1540,1456,2,2
ENSG00000196353,5,7,75,74
ENSG00000196357,82,80,142,149
ENSG00000196358,208,193,202,205
ENSG00000196361,0,0,6788,6702
ENSG00000196363,1014,1032,3302,3279
ENSG00000196364,0,0,0,0
ENSG00000196365,3005,2846,6394,6365
ENSG00000196366,7,6,6,6
ENSG00000196367,3789,3803,9149,9072
ENSG00000196368,129,163,927,941
ENSG00000196369,45,32,56,55
ENSG00000196371,0,0,0,0
ENSG00000196372,420,405,2016,2018
ENSG00000196376,2,2,4,2
ENSG00000196378,135,140,179,170
ENSG00000196381,0,0,0,0
ENSG00000196383,0,0,0,0
ENSG00000196387,105,86,204,206
ENSG00000196388,177,189,132,124
ENSG00000196390,0,0,0,0
ENSG00000196391,49,44,354,352
ENSG00000196395,0,0,1,1
ENSG00000196396,1771,1598,2784,2779
ENSG00000196403,0,0,0,0
ENSG00000196405,883,795,3295,3242
ENSG00000196406,0,0,0,0
ENSG00000196407,15,12,7,7
ENSG00000196408,54,47,57,51
ENSG00000196411,2563,2669,1635,1612
ENSG00000196415,0,3,0,0
ENSG00000196417,209,204,421,425
ENSG00000196418,115,107,1013,1020
ENSG00000196419,6338,5939,8832,8762
ENSG00000196420,27,39,1,1
ENSG00000196421,7,21,82,83
ENSG00000196422,891,714,3177,3160
ENSG00000196427,0,0,43,38
ENSG00000196428,1252,1198,822,815
ENSG00000196431,0,1,5,6
ENSG00000196433,0,1,0,0
ENSG00000196436,41,26,1,1
ENSG00000196437,67,93,644,647
ENSG00000196440,810,721,1118,1098
ENSG00000196449,290,254,1793,1790
ENSG00000196453,607,686,917,907
ENSG00000196455,876,1016,1355,1347
ENSG00000196456,10,5,58,56
ENSG00000196458,0,0,0,0
ENSG00000196459,209,205,823,815
ENSG00000196460,835,725,0,1
ENSG00000196465,0,0,0,0
ENSG00000196466,0,0,0,0
ENSG00000196468,0,0,1,1
ENSG00000196470,42,37,200,209
ENSG00000196472,0,0,0,0
ENSG00000196475,0,0,0,0
ENSG00000196476,217,150,968,938
ENSG00000196482,0,1,3252,3243
ENSG00000196497,0,0,0,0
ENSG00000196498,11034,10697,6743,6668
ENSG00000196502,0,0,0,0
ENSG00000196503,13,5,10,9
ENSG00000196504,1359,1681,5682,5646
ENSG00000196505,372,438,744,740
ENSG00000196507,1318,1194,572,565
ENSG00000196510,726,723,1811,1811
ENSG00000196511,55,38,12,14
ENSG00000196517,3561,3894,112,112
ENSG00000196526,1561,1486,1134,1092
ENSG00000196531,5042,4416,9896,9842
ENSG00000196534,0,0,0,0
ENSG00000196535,3405,3117,1584,1575
ENSG00000196539,0,0,0,0
ENSG00000196542,0,7,230,229
ENSG00000196544,130,176,111,117
ENSG00000196547,1642,1724,1901,1901
ENSG00000196549,6472,7478,338,336
ENSG00000196550,20,15,221,222
ENSG00000196553,0,0,0,0
ENSG00000196557,353,315,0,0
ENSG00000196562,3972,4360,2968,2979
ENSG00000196564,0,0,0,0
ENSG00000196565,0,0,0,0
ENSG00000196566,0,0,0,0
ENSG00000196569,13868,14140,2,0
ENSG00000196570,0,0,0,0
ENSG00000196576,19961,19646,7712,7652
ENSG00000196578,0,0,0,0
ENSG00000196581,266,220,74,75
ENSG00000196584,41,48,1942,1930
ENSG00000196586,1511,1720,1581,1576
ENSG00000196588,1754,1764,653,636
ENSG00000196589,0,0,0,0
ENSG00000196591,1391,1612,9841,9806
ENSG00000196593,4,0,0,0
ENSG00000196597,118,139,311,304
ENSG00000196600,0,0,48,41
ENSG00000196604,0,1,5,0
ENSG00000196605,216,198,233,237
ENSG00000196611,0,0,0,0
ENSG00000196616,15,5,0,0
ENSG00000196620,0,0,0,0
ENSG00000196628,5115,5341,17993,17869
ENSG00000196632,10,22,391,393
ENSG00000196634,0,0,0,0
ENSG00000196636,80,82,664,657
ENSG00000196639,470,426,112,112
ENSG00000196642,2091,2020,6184,6153
ENSG00000196646,136,181,377,379
ENSG00000196652,644,590,1564,1554
ENSG00000196653,112,131,255,258
ENSG00000196655,670,636,1072,1011
ENSG00000196656,0,0,0,0
ENSG00000196659,0,0,0,0
ENSG00000196660,0,0,175,175
ENSG00000196663,1938,1951,971,958
ENSG00000196664,0,0,0,0
ENSG00000196666,4,0,12,13
ENSG00000196668,0,1,2,3
ENSG00000196670,211,228,1292,1278
ENSG00000196678,147,195,852,862
ENSG00000196683,870,742,1814,1795
ENSG00000196684,0,0,0,0
ENSG00000196689,115,101,224,224
ENSG00000196693,179,250,1536,1536
ENSG00000196696,16,7,5,8
ENSG00000196700,1992,2207,2462,2463
ENSG00000196704,1028,1180,2333,2322
ENSG00000196705,149,171,1247,1219
ENSG00000196711,0,0,0,0
ENSG00000196712,3787,4042,3791,3769
ENSG00000196715,1496,1478,3921,3905
ENSG00000196724,61,49,6,6
ENSG00000196730,878,811,2289,2283
ENSG00000196734,0,0,0,0
ENSG00000196735,0,0,0,0
ENSG00000196739,6243,5769,242,238
ENSG00000196741,25,23,98,108
ENSG00000196743,1604,1836,799,800
ENSG00000196747,12,14,15,14
ENSG00000196748,0,0,2,2
ENSG00000196754,13,11,20,21
ENSG00000196756,246,230,813,803
ENSG00000196757,0,0,0,0
ENSG00000196758,0,0,3,3
ENSG00000196767,0,0,0,0
ENSG00000196772,0,0,0,0
ENSG00000196776,2441,2645,1994,1982
ENSG00000196778,0,0,0,0
ENSG00000196781,564,573,3563,3535
ENSG00000196782,229,180,1503,1481
ENSG00000196787,80,73,180,185
ENSG00000196792,472,425,673,685
ENSG00000196793,209,190,985,970
ENSG00000196796,0,0,0,0
ENSG00000196800,0,0,0,0
ENSG00000196805,0,0,0,0
ENSG00000196810,522,522,898,894
ENSG00000196811,0,0,0,0
ENSG00000196812,0,0,0,0
ENSG00000196814,629,582,1526,1523
ENSG00000196821,3379,3352,3060,3069
ENSG00000196826,5,1,34,35
ENSG00000196832,0,0,0,0
ENSG00000196834,0,0,0,0
ENSG00000196839,85,80,120,125
ENSG00000196843,1560,1237,208,208
ENSG00000196844,0,0,0,0
ENSG00000196850,551,657,1505,1512
ENSG00000196859,0,0,0,0
ENSG00000196860,1,2,0,2
ENSG00000196862,6,5,17,19
ENSG00000196865,677,667,1396,1381
ENSG00000196866,0,0,0,0
ENSG00000196867,14,13,47,45
ENSG00000196872,1,0,27,28
ENSG00000196873,18,33,92,77
ENSG00000196876,3150,3128,925,916
ENSG00000196878,139,118,27,29
ENSG00000196890,5,6,88,85
ENSG00000196893,0,0,0,0
ENSG00000196900,2,0,5,5
ENSG00000196911,220,243,787,795
ENSG00000196912,105,167,182,191
ENSG00000196914,6387,6667,6437,6436
ENSG00000196917,4,5,0,0
ENSG00000196922,365,435,1452,1463
ENSG00000196923,7375,6818,1410,1383
ENSG00000196924,129845,123760,28708,28455
ENSG00000196932,146,154,60,58
ENSG00000196933,0,0,0,0
ENSG00000196935,927,929,422,417
ENSG00000196937,891,922,1110,1133
ENSG00000196943,401,397,802,788
ENSG00000196944,0,0,0,0
ENSG00000196946,0,0,0,1
ENSG00000196950,600,620,2374,2350
ENSG00000196951,0,0,0,0
ENSG00000196954,980,1088,46,44
ENSG00000196961,4856,4837,2491,2475
ENSG00000196967,0,0,0,0
ENSG00000196968,952,908,871,865
ENSG00000196970,0,0,1,1
ENSG00000196972,0,0,0,0
ENSG00000196975,1934,1926,595,598
ENSG00000196976,124,123,622,618
ENSG00000196979,0,0,1,1
ENSG00000196981,121,137,460,461
ENSG00000196990,0,0,2211,2183
ENSG00000196993,0,0,0,0
ENSG00000196998,24,24,130,123
ENSG00000197006,3013,3116,5562,5488
ENSG00000197008,29,41,980,971
ENSG00000197013,104,105,507,498
ENSG00000197016,187,228,580,569
ENSG00000197019,507,616,149,146
ENSG00000197020,72,66,669,657
ENSG00000197021,542,514,490,458
ENSG00000197023,0,0,0,0
ENSG00000197024,547,577,1105,1088
ENSG00000197037,470,538,1450,1445
ENSG00000197038,0,0,0,0
ENSG00000197043,11283,11071,2857,2843
ENSG00000197044,89,104,145,143
ENSG00000197045,476,501,3577,3581
ENSG00000197046,11,15,1,1
ENSG00000197050,23,12,52,51
ENSG00000197054,12,10,16,19
ENSG00000197056,188,204,901,897
ENSG00000197057,0,0,0,0
ENSG00000197061,0,0,31,32
ENSG00000197062,0,0,0,0
ENSG00000197063,720,605,810,818
ENSG00000197067,0,0,0,0
ENSG00000197070,0,0,0,0
ENSG00000197077,136,157,1733,1739
ENSG00000197079,2,0,0,0
ENSG00000197081,14930,14253,7294,7231
ENSG00000197083,44,43,1,0
ENSG00000197084,0,0,0,0
ENSG00000197085,2,0,5,3
ENSG00000197092,0,0,0,0
ENSG00000197093,661,740,429,419
ENSG00000197099,1,1,0,0
ENSG00000197102,18248,17398,15588,15492
ENSG00000197106,172,211,52,52
ENSG00000197110,0,0,0,0
ENSG00000197111,2193,2035,4586,4616
ENSG00000197114,25,39,145,134
ENSG00000197119,172,132,1272,1250
ENSG00000197121,513,500,3054,3034
ENSG00000197122,1898,2020,4822,4778
ENSG00000197123,0,0,3,3
ENSG00000197124,60,43,535,538
ENSG00000197125,0,0,0,0
ENSG00000197128,0,0,0,0
ENSG00000197134,1,5,222,222
ENSG00000197136,2644,2842,3452,3434
ENSG00000197140,44,27,26,25
ENSG00000197142,8,7,0,0
ENSG00000197147,0,0,90,94
ENSG00000197149,0,0,0,0
ENSG00000197150,719,787,1744,1728
ENSG00000197153,4,1,24,30
ENSG00000197157,6805,6621,9673,9604
ENSG00000197161,0,0,0,0
ENSG00000197162,17,11,73,64
ENSG00000197165,0,0,0,0
ENSG00000197168,2,2,8,7
ENSG00000197170,550,714,3727,3712
ENSG00000197171,0,0,0,0
ENSG00000197172,0,0,1174,1151
ENSG00000197176,0,0,0,0
ENSG00000197177,0,0,0,0
ENSG00000197180,35,29,53,52
ENSG00000197181,27,34,1,1
ENSG00000197182,467,498,382,377
ENSG00000197183,583,604,1668,1655
ENSG00000197185,0,0,0,0
ENSG00000197191,40,35,61,58
ENSG00000197208,100,69,56,56
ENSG00000197210,0,0,0,0
ENSG00000197213,1,1,0,1
ENSG00000197214,0,0,0,0
ENSG00000197217,3125,3026,2853,2827
ENSG00000197223,348,389,1069,1082
ENSG00000197226,5128,5163,3919,3894
ENSG00000197233,0,0,0,0
ENSG00000197238,3,1,1,4
ENSG00000197241,0,0,0,0
ENSG00000197245,0,0,28,28
ENSG00000197249,0,0,0,0
ENSG00000197251,1,2,0,0
ENSG00000197253,0,0,0,0
ENSG00000197254,0,0,0,0
ENSG00000197256,11613,11568,2320,2308
ENSG00000197258,0,0,0,0
ENSG00000197261,4,17,2,2
ENSG00000197265,674,813,1207,1199
ENSG00000197272,0,0,0,0
ENSG00000197273,0,0,0,0
ENSG00000197275,18,20,156,155
ENSG00000197279,0,0,0,0
ENSG00000197283,129,135,244,246
ENSG00000197291,1,2,132,140
ENSG00000197296,481,417,379,377
ENSG00000197299,24,55,1742,1733
ENSG00000197301,0,0,0,0
ENSG00000197302,290,296,819,803
ENSG00000197308,0,0,0,0
ENSG00000197309,0,0,0,0
ENSG00000197312,634,622,1923,1917
ENSG00000197320,0,0,0,0
ENSG00000197321,2290,2120,541,546
ENSG00000197322,0,0,0,0
ENSG00000197323,1084,1206,2585,2570
ENSG00000197324,17115,18262,1340,1329
ENSG00000197329,402,479,1279,1266
ENSG00000197332,29,27,376,361
ENSG00000197334,0,0,0,0
ENSG00000197343,0,0,0,0
ENSG00000197345,248,254,1595,1583
ENSG00000197353,0,0,1,1
ENSG00000197355,1637,1483,659,652
ENSG00000197358,0,3,3,1
ENSG00000197360,0,0,7,7
ENSG00000197361,2,1,4,4
ENSG00000197362,128,127,843,827
ENSG00000197363,332,359,658,640
ENSG00000197364,0,0,0,0
ENSG00000197372,190,195,623,631
ENSG00000197375,294,298,260,264
ENSG00000197376,0,0,0,0
ENSG00000197380,862,972,912,923
ENSG00000197381,818,739,738,736
ENSG00000197385,0,0,0,0
ENSG00000197386,2828,2798,4349,4337
ENSG00000197403,0,0,0,0
ENSG00000197405,25,53,5,5
ENSG00000197406,0,4,63,61
ENSG00000197408,0,0,0,0
ENSG00000197409,0,0,0,0
ENSG00000197410,1,1,0,0
ENSG00000197415,269,284,33,33
ENSG00000197416,0,0,0,0
ENSG00000197417,0,0,0,0
ENSG00000197421,0,0,0,0
ENSG00000197428,0,0,0,0
ENSG00000197429,239,232,556,540
ENSG00000197430,0,0,0,0
ENSG00000197437,0,0,0,0
ENSG00000197442,504,535,283,278
ENSG00000197444,2,2,2544,2516
ENSG00000197446,0,0,1,0
ENSG00000197448,0,2,0,0
ENSG00000197451,1697,1664,8216,8294
ENSG00000197454,0,0,2,2
ENSG00000197457,326,386,5982,5904
ENSG00000197461,232,209,141,135
ENSG00000197462,0,0,0,0
ENSG00000197465,0,0,0,0
ENSG00000197467,846,933,6,6
ENSG00000197468,0,0,0,0
ENSG00000197471,0,0,0,0
ENSG00000197472,0,0,0,0
ENSG00000197475,0,0,0,0
ENSG00000197476,0,0,0,0
ENSG00000197479,0,0,0,0
ENSG00000197483,303,269,321,324
ENSG00000197487,0,0,0,0
ENSG00000197496,2601,2619,268,264
ENSG00000197497,77,98,135,135
ENSG00000197498,513,528,1516,1508
ENSG00000197503,0,0,0,0
ENSG00000197506,15,18,2,2
ENSG00000197520,0,0,0,0
ENSG00000197530,1532,1605,1522,1533
ENSG00000197532,0,0,0,0
ENSG00000197535,2735,2559,1895,1876
ENSG00000197536,0,1,0,0
ENSG00000197540,0,2,0,0
ENSG00000197548,858,899,737,734
ENSG00000197549,0,0,0,0
ENSG00000197550,1,0,0,0
ENSG00000197555,2831,3008,1518,1493
ENSG00000197557,0,0,2,5
ENSG00000197558,76,49,51,52
ENSG00000197561,9,3,0,0
ENSG00000197562,584,525,930,936
ENSG00000197563,708,611,1255,1260
ENSG00000197565,45,47,0,0
ENSG00000197566,66,95,235,235
ENSG00000197568,110,93,104,103
ENSG00000197575,0,0,0,0
ENSG00000197576,0,0,0,0
ENSG00000197579,0,0,0,0
ENSG00000197580,23,25,33,31
ENSG00000197582,0,0,0,0
ENSG00000197584,0,0,0,0
ENSG00000197585,3,0,3,3
ENSG00000197586,1153,1292,1683,1645
ENSG00000197587,0,0,2,2
ENSG00000197588,0,0,0,0
ENSG00000197591,0,0,0,0
ENSG00000197594,789,887,1,1
ENSG00000197595,0,0,0,1
ENSG00000197599,24,13,29,29
ENSG00000197601,1444,1556,3048,3042
ENSG00000197603,1129,1307,805,801
ENSG00000197608,0,0,0,0
ENSG00000197614,2469,2545,3,3
ENSG00000197616,0,0,0,0
ENSG00000197617,1,0,0,0
ENSG00000197619,132,203,229,228
ENSG00000197620,233,197,208,213
ENSG00000197622,1862,1768,3479,3441
ENSG00000197627,0,0,0,0
ENSG00000197629,1,0,0,0
ENSG00000197632,116,184,0,0
ENSG00000197635,7743,7887,0,0
ENSG00000197641,0,0,0,0
ENSG00000197644,0,0,0,0
ENSG00000197646,0,0,0,0
ENSG00000197647,0,0,0,0
ENSG00000197651,0,0,0,0
ENSG00000197653,9,3,88,86
ENSG00000197658,0,0,2,1
ENSG00000197665,0,0,0,0
ENSG00000197670,0,0,0,0
ENSG00000197674,0,0,0,0
ENSG00000197683,0,0,0,0
ENSG00000197692,0,0,0,0
ENSG00000197694,16371,15723,12679,12572
ENSG00000197696,57,66,249,244
ENSG00000197702,14051,13749,630,623
ENSG00000197705,0,0,0,0
ENSG00000197706,0,0,0,0
ENSG00000197712,6322,5801,398,390
ENSG00000197713,556,584,1544,1552
ENSG00000197714,17,36,71,71
ENSG00000197721,1,0,0,0
ENSG00000197724,1902,1850,2512,2497
ENSG00000197728,2561,2531,5725,5749
ENSG00000197734,16,13,22,23
ENSG00000197744,0,0,0,0
ENSG00000197745,0,0,0,0
ENSG00000197746,40306,40277,14723,14653
ENSG00000197747,3276,3286,457,456
ENSG00000197748,8,13,63,63
ENSG00000197753,0,0,16,16
ENSG00000197756,6095,5443,22422,22300
ENSG00000197757,0,0,0,0
ENSG00000197763,521,529,508,499
ENSG00000197766,49,54,20,23
ENSG00000197768,0,0,0,0
ENSG00000197769,9,3,1,1
ENSG00000197771,1502,1630,4225,4211
ENSG00000197774,155,132,221,222
ENSG00000197776,84,70,67,66
ENSG00000197779,349,401,977,977
ENSG00000197780,601,614,1388,1399
ENSG00000197782,0,0,0,0
ENSG00000197785,947,854,2450,2449
ENSG00000197786,0,0,0,0
ENSG00000197790,0,0,0,0
ENSG00000197794,0,0,0,0
ENSG00000197798,652,644,845,840
ENSG00000197808,104,111,312,308
ENSG00000197813,76,106,14,15
ENSG00000197815,0,0,0,0
ENSG00000197816,1,2,3,4
ENSG00000197818,952,914,651,654
ENSG00000197822,16,18,141,138
ENSG00000197826,21,24,33,34
ENSG00000197837,22,17,25,28
ENSG00000197838,0,0,0,0
ENSG00000197841,167,175,472,472
ENSG00000197847,14,14,19,20
ENSG00000197849,0,0,0,0
ENSG00000197852,666,688,418,429
ENSG00000197857,239,201,465,444
ENSG00000197858,2407,2609,2758,2754
ENSG00000197859,0,0,1166,1142
ENSG00000197860,429,435,608,596
ENSG00000197863,28,14,108,107
ENSG00000197866,0,0,0,0
ENSG00000197870,2,0,0,0
ENSG00000197872,0,0,28,27
ENSG00000197879,15986,15243,4182,4142
ENSG00000197880,0,3,2,2
ENSG00000197882,0,0,0,0
ENSG00000197885,364,349,654,652
ENSG00000197887,0,0,0,0
ENSG00000197888,0,0,0,0
ENSG00000197889,1,2,36,36
ENSG00000197891,0,0,1,1
ENSG00000197892,120,173,966,965
ENSG00000197893,0,2,0,0
